acceptance ratio,link utilization,node utilization,profitability,revenue cost ratio,time periods
0.5152439,0.46682245,0.32656407,0.24662942749106,0.4786654,8200
0.5151515,0.5102804,0.32687658,0.246224371242955,0.47796497,8250
0.5135542,0.5175234,0.32125157,0.24542251934883996,0.4778902,8300
0.51420027,0.45724297,0.29031408,0.2461684686499215,0.47874045,8350
0.51636904,0.4834112,0.2906266,0.24691034041932716,0.47816643,8400
0.5185185,0.4691589,0.30187654,0.24835641335234998,0.4789731,8450
0.51911765,0.49929905,0.29781407,0.2472438852390505,0.47627717,8500
0.51970804,0.50934577,0.31312656,0.24790798500715802,0.47701395,8550
0.52034885,0.54135513,0.32218903,0.2479435472284225,0.47649485,8600
0.51878613,0.50677574,0.30843908,0.2473068682143609,0.47670293,8650
0.52011496,0.513785,0.31093907,0.2481491515252728,0.47710443,8700
0.52217454,0.50443923,0.30500156,0.249071877182238,0.4769897,8750
0.52279204,0.48457944,0.30281407,0.249373214618508,0.4770027,8800
0.523338,0.46285045,0.28656405,0.2495693207724,0.4768798,8850
0.5225352,0.43621492,0.27093905,0.249195176654688,0.47689644,8900
0.52240896,0.38831776,0.24656409,0.249441501929472,0.4774832,8950
0.5216178,0.42943925,0.24187654,0.24834786805224002,0.4761108,9000
0.5222222,0.43107474,0.24343908,0.24879595163516,0.4764178,9050
0.5227586,0.47102803,0.26843905,0.24896494900167798,0.47625223,9100
0.5219178,0.47429907,0.26843905,0.248690616686352,0.47649384,9150
0.52244896,0.48364484,0.28968906,0.2492847135905984,0.47714654,9200
0.5230352,0.4834112,0.27625155,0.24951673516796802,0.47705534,9250
0.5229111,0.4432243,0.26593906,0.24954187293159297,0.47721663,9300
0.52342707,0.36168224,0.24875158,0.24963392171843488,0.47692207,9350
0.52526593,0.4443925,0.27875155,0.250015131882726,0.4759782,9400
0.5245033,0.47242993,0.28343904,0.24940548370620202,0.47550794,9450
0.52700925,0.47897196,0.3090641,0.250728708658725,0.4757577,9500
0.52555704,0.47593457,0.3090641,0.2501591439230328,0.47598857,9550
0.52610964,0.48621494,0.30218905,0.25026385829394604,0.47568765,9600
0.52658886,0.46471965,0.29406404,0.250314198907101,0.47535035,9650
0.5271318,0.49042058,0.29968905,0.250608120045894,0.47541833,9700
0.52895755,0.48107475,0.29031408,0.251434798187661,0.47534022,9750
0.52820516,0.4864486,0.29687655,0.2511140045514968,0.47540998,9800
0.52618134,0.46168226,0.27843904,0.25015186032577325,0.47540998,9850
0.5260483,0.4635514,0.27687657,0.25007502395444503,0.47538415,9900
0.5253165,0.48200935,0.2778141,0.24962619826799998,0.475192,9950
0.52644837,0.46121496,0.25406408,0.250167317816934,0.4751982,10000
0.52565706,0.5,0.26125157,0.2496872401708356,0.47500026,10050
0.52238804,0.43294394,0.23781407,0.248134475716412,0.4750003,10100
0.5247525,0.42196262,0.26031405,0.24971113851149998,0.4758646,10150
0.5265105,0.41822428,0.27437657,0.25090368222735,0.4765407,10200
0.5239264,0.38574767,0.26000154,0.24967225340448,0.4765407,10250
0.5232274,0.3953271,0.26093906,0.24913245047080998,0.47614565,10300
0.5237515,0.4436916,0.29031408,0.24923746917955003,0.4758697,10350
0.5242131,0.4453271,0.28125155,0.249372931524948,0.47570908,10400
0.52466905,0.40303737,0.2725016,0.249406448753618,0.47535956,10450
0.52751195,0.45724297,0.29468906,0.250248314103998,0.47439364,10500
0.5285714,0.48457944,0.3012516,0.2504392436056,0.473804,10550
0.53017753,0.46682245,0.31437653,0.25144183632454103,0.4742597,10600
0.5300353,0.4670561,0.31968904,0.251514354089434,0.47452378,10650
0.5327869,0.5018692,0.36156404,0.253099495123663,0.47504827,10700
0.5320887,0.4801402,0.34718907,0.252834465852111,0.47517353,10750
0.53077817,0.4834112,0.34875154,0.25234059370217105,0.4754163,10800
0.53063583,0.45584112,0.32531404,0.2524405401920094,0.47573218,10850
0.5316456,0.48060745,0.34375155,0.252961054201752,0.47580767,10900
0.5303551,0.49088782,0.33875155,0.25218151648756,0.4754956,10950
0.5296804,0.4943925,0.33437657,0.25196154016079203,0.47568598,11000
0.5295454,0.51401865,0.35031408,0.25194647495752004,0.4757788,11050
0.5294118,0.49228972,0.35093904,0.252126620337852,0.47623914,11100
0.5304054,0.49112147,0.35156405,0.252749491951236,0.47652134,11150
0.53198653,0.4448598,0.34687656,0.25363636699900477,0.47677216,11200
0.53243846,0.38574767,0.31281406,0.2537672727650564,0.47661334,11250
0.53177255,0.38387853,0.29375154,0.253593937724161,0.47688422,11300
0.53333336,0.3558411,0.2856266,0.25440646605365597,0.4770121,11350
0.5348066,0.42570096,0.28000158,0.254974362527604,0.47675994,11400
0.5352423,0.41845793,0.28062654,0.25520067044611794,0.47679466,11450
0.5355969,0.48364484,0.28437656,0.25479620860412705,0.47572383,11500
0.53544164,0.5009346,0.29281408,0.25485106253812084,0.47596422,11550
0.53528774,0.47383177,0.27875155,0.254648475420924,0.4757226,11600
0.5345572,0.49719626,0.26437658,0.25423174260318,0.47559315,11650
0.5338346,0.478271,0.25343907,0.25407517200525204,0.47594362,11700
0.5331197,0.48878503,0.25562656,0.253766080757779,0.47600207,11750
0.5314164,0.47126168,0.24843907,0.252955306431948,0.47600207,11800
0.53072035,0.49205607,0.26750153,0.25270303598725696,0.47615102,11850
0.5289779,0.4787383,0.26593906,0.25195217377,0.4763,11900
0.52780694,0.45257008,0.25531405,0.25145657895497675,0.47641772,11950
0.5282427,0.4488318,0.25312656,0.25157651029972494,0.47625175,12000
0.52708334,0.44065422,0.25218904,0.251033850570965,0.47626975,12050
0.52751815,0.45070094,0.2725016,0.25137701072775503,0.4765277,12100
0.5279503,0.45677572,0.27437657,0.25158531794966,0.4765322,12150
0.5283213,0.40257007,0.27406406,0.252035744846769,0.47705013,12200
0.5297131,0.41775703,0.28093904,0.25268036339242206,0.47701362,12250
0.5300714,0.4301402,0.29375154,0.25295909389522797,0.47721702,12300
0.5294118,0.40163553,0.29250157,0.25282902273762,0.4775659,12350
0.52929294,0.47803736,0.32312655,0.25246806401626926,0.47699118,12400
0.52917504,0.4600467,0.30343908,0.25221215313830403,0.47661385,12450
0.5305918,0.3906542,0.28375155,0.253036862980572,0.47689554,12500
0.531,0.4462617,0.29937655,0.25292688642,0.47632182,12550
0.5308765,0.45210278,0.29718906,0.25291574400246,0.47641164,12600
0.53128105,0.40257007,0.2750016,0.25330043880040803,0.47677296,12650
0.5335968,0.39813083,0.27812654,0.254592623990496,0.47712547,12700
0.53399014,0.46892524,0.29468906,0.25436513520872,0.476348,12750
0.53287536,0.48037386,0.30218905,0.2538527306503584,0.47638294,12800
0.53176934,0.47126168,0.29781407,0.253411249064757,0.47654355,12850
0.53216374,0.44556075,0.29281408,0.2537613428108176,0.47684824,12900
0.53106797,0.44813085,0.28375155,0.253287929359379,0.4769407,12950
0.531401,0.511215,0.28875154,0.25277547792146,0.47567746,13000
0.53082854,0.45887852,0.25843906,0.25257140430324,0.475806,13050
0.5292426,0.4651869,0.25593907,0.25178486474469003,0.47574565,13100
0.52862597,0.44929904,0.23562658,0.2516827625804765,0.47610745,13150
0.52901995,0.45700938,0.24343908,0.2519791058953475,0.47631305,13200
0.52891,0.47523367,0.25406408,0.2518461452588,0.47616068,13250
0.5273585,0.42056078,0.22812659,0.251250554522945,0.47643217,13300
0.52725565,0.43855143,0.23125154,0.251169659779992,0.47637168,13350
0.5267104,0.41822428,0.22187656,0.251029829011136,0.47659934,13400
0.5275444,0.41682243,0.23437655,0.251499523138168,0.47673622,13450
0.527881,0.42476636,0.23843908,0.25146916356832,0.47637472,13500
0.5277778,0.45934582,0.25718904,0.251439487253592,0.47641164,13550
0.5262673,0.46285045,0.25812656,0.250464738347005,0.47592685,13600
0.5266055,0.48364484,0.27531403,0.25082337924632,0.47630224,13650
0.5265082,0.49252337,0.28500158,0.25091632804776,0.4765668,13700
0.52597994,0.4873832,0.25875157,0.25048949392736425,0.47623393,13750
0.5263158,0.49719626,0.26250154,0.250721547119694,0.47637093,13800
0.52755195,0.5264019,0.28468907,0.251382313100079,0.47650722,13850
0.527027,0.48060745,0.2725016,0.25120311373941,0.47664183,13900
0.5278276,0.4313084,0.2725016,0.251657674797656,0.47678006,13950
0.52862257,0.44672894,0.29468906,0.25215923535368023,0.47701186,14000
0.5289403,0.5130841,0.31812656,0.25196956107621904,0.47636673,14050
0.5288376,0.5046729,0.3090641,0.25175125681814403,0.47604644,14100
0.5283186,0.5126168,0.31093907,0.25154046307086,0.4761151,14150
0.52691966,0.5126168,0.31093907,0.25087440661286603,0.4761151,14200
0.52636206,0.47056073,0.2621891,0.2506246472678382,0.47614497,14250
0.5258545,0.41565418,0.22937655,0.250324752516625,0.47603425,14300
0.5253054,0.4313084,0.24656409,0.250161709786938,0.47622147,14350
0.5256745,0.45817757,0.26531404,0.25039444522033505,0.47632983,14400
0.5243056,0.40443927,0.23312658,0.24974239731604803,0.47632983,14450
0.5242215,0.38551402,0.23468906,0.24986144444481,0.47663334,14500
0.525453,0.34789717,0.23187655,0.25062969443349,0.47697833,14550
0.5258176,0.36822432,0.24125159,0.25084544003903997,0.4770579,14600
0.5265866,0.4088785,0.24468905,0.250829537562198,0.47633103,14650
0.52820516,0.42289722,0.26781404,0.2517227081778808,0.47656238,14700
0.5294118,0.34672898,0.23906404,0.25253667095342397,0.47701368,14750
0.5297619,0.3714953,0.24531406,0.25266075743127303,0.47693267,14800
0.5300593,0.4453271,0.26906407,0.25245017668054004,0.4762678,14850
0.53035414,0.39742988,0.26937658,0.25275637757577324,0.47658038,14900
0.52901596,0.38621497,0.25843906,0.25211862724286477,0.47658038,14950
0.5293132,0.42383176,0.26843905,0.252115757025756,0.47630733,15000
0.529608,0.46752334,0.26906407,0.2518001110896,0.4754462,15050
0.5299501,0.45654207,0.27312654,0.252071104233064,0.47565064,15100
0.5294606,0.45163554,0.27156407,0.25190099314745995,0.4757691,15150
0.5293631,0.44929904,0.26531404,0.252066747922535,0.47616985,15200
0.5280066,0.4626168,0.26093906,0.25133621046335997,0.4760096,15250
0.5283484,0.43995327,0.25468904,0.251550815491456,0.47610784,15300
0.5266175,0.37733644,0.22812659,0.2507267204312,0.47610784,15350
0.5277325,0.44813085,0.27125156,0.25127199832470004,0.47613516,15400
0.52721363,0.45630842,0.26281404,0.25095189535365797,0.4759966,15450
0.5263158,0.47686917,0.27093905,0.25041453132408,0.4757876,15500
0.52584815,0.49112147,0.27906406,0.25022326463305,0.475847,15550
0.5253419,0.45584112,0.24781406,0.25013957565287503,0.47614625,15600
0.525641,0.44158876,0.25906408,0.2505212890615,0.4766015,15650
0.5263578,0.460514,0.26906407,0.250769525352246,0.47642407,15700
0.5274463,0.48668224,0.2778141,0.25104782424155003,0.4759685,15750
0.5293186,0.5084112,0.3062516,0.251952805865932,0.47599462,15800
0.5288538,0.503271,0.29781407,0.251735646317892,0.47600234,15850
0.5279748,0.4964953,0.29937655,0.25141444570146,0.47618645,15900
0.52710134,0.47196263,0.28343904,0.2510327932849832,0.47625148,15950
0.52742946,0.49719626,0.30593908,0.251220559007952,0.4763112,16000
0.5285379,0.42523366,0.29156405,0.251959170174525,0.47670975,16050
0.52844894,0.39042056,0.2881266,0.25202734001585997,0.476919,16100
0.52836055,0.43878508,0.30687654,0.252002568207545,0.4769519,16150
0.5294118,0.33738315,0.28218907,0.25278209038155003,0.47747725,16200
0.5305019,0.3593458,0.29531407,0.253423505629842,0.47770518,16250
0.5307692,0.42570096,0.32875156,0.253575431146128,0.47775084,16300
0.529908,0.432243,0.28531408,0.25311308916024,0.47765478,16350
0.5302219,0.4614486,0.31093907,0.253374053461542,0.47786418,16400
0.529771,0.4130841,0.29750156,0.2531731638007,0.4778917,16450
0.5296804,0.41682243,0.30562657,0.2532648293786,0.4781465,16500
0.5311077,0.4275701,0.31187654,0.253881611099868,0.47802284,16550
0.5314156,0.4488318,0.32093906,0.25403584090316,0.4780361,16600
0.5298113,0.4488318,0.32093906,0.25326892758793,0.4780361,16650
0.5282167,0.41658878,0.28937656,0.25250665122287,0.4780361,16700
0.5285285,0.41542053,0.29562658,0.252739818189625,0.47819525,16750
0.5284431,0.41004676,0.28781408,0.252682899791742,0.47816482,16800
0.5287099,0.39042056,0.24375159,0.25276843115446995,0.4780853,16850
0.527881,0.38177568,0.23343909,0.25237858639750005,0.4780975,16900
0.52705705,0.42897195,0.23281407,0.2517026455466315,0.47756243,16950
0.5273669,0.41074765,0.22218907,0.251981083562958,0.47780982,17000
0.5272861,0.39205605,0.22468907,0.25206699514201697,0.47804597,17050
0.5268185,0.40186918,0.23250157,0.25179495666714996,0.4779539,17100
