acceptance ratio,link utilization,node utilization,profitability,revenue cost ratio,time periods,total utilization
0.7321428571428571,0.45397196261682243,0.37,0.5413129453479254,0.7393542668166786,2650,0.4346402877697842
0.7268722466960352,0.44018691588785047,0.3678125,0.5349062379386986,0.7359013091641491,2700,0.4235251798561151
0.7272727272727273,0.4649532710280374,0.371875,0.5344438309190033,0.7348602675136294,2750,0.4435251798561151
0.7288135593220338,0.48317757009345796,0.3896875,0.5351609984654477,0.7342906723130562,2800,0.4616546762589928
0.7280334728033473,0.5112149532710281,0.3871875,0.5307788349507223,0.7290582847886359,2850,0.4826618705035971
0.7272727272727273,0.5198598130841121,0.370625,0.5294239972533415,0.7279579962233447,2900,0.4855035971223022
0.726530612244898,0.46004672897196264,0.348125,0.5285324684348448,0.7274744649805448,2950,0.43428057553956834
0.7298387096774194,0.4158878504672897,0.315,0.5320237193799167,0.7289606762774549,3000,0.39266187050359713
0.7290836653386454,0.394392523364486,0.3096875,0.5308814412451758,0.7281488620357328,3050,0.37489208633093524
0.7294117647058823,0.42429906542056073,0.3228125,0.5312343691116517,0.7283051834595224,3100,0.40093525179856115
0.7286821705426356,0.39789719626168224,0.31375,0.5314731195245262,0.7293620470070626,3150,0.3785251798561151
0.7279693486590039,0.4093457943925234,0.3271875,0.5317237988529614,0.7304205868453838,3200,0.390431654676259
0.7196969696969697,0.4093457943925234,0.3271875,0.525681482956905,0.7304205868453838,3250,0.390431654676259
0.7191011235955056,0.42149532710280374,0.346875,0.5257486702938386,0.7311192446273694,3300,0.40431654676258993
0.7222222222222222,0.3927570093457944,0.34,0.5285323072981595,0.7318139639512977,3350,0.3806115107913669
0.7226277372262774,0.41705607476635514,0.3434375,0.5290381367448361,0.732103280141844,3400,0.40010791366906473
0.7204301075268817,0.38925233644859814,0.3353125,0.5282068393519808,0.733182627757227,3450,0.3768345323741007
0.7163120567375887,0.3985981308411215,0.32875,0.5244584113837821,0.7321647129219137,3500,0.3825179856115108
0.712280701754386,0.3455607476635514,0.304375,0.5213159553842726,0.7318967846527965,3550,0.3360791366906475
0.7118055555555556,0.3399532710280374,0.275625,0.5208795868625473,0.7317722976410421,3600,0.32514388489208634
0.708904109589041,0.3401869158878505,0.2865625,0.5191651882730217,0.7323489612353737,3650,0.32784172661870503
0.7094594594594594,0.3235981308411215,0.280625,0.5199226779347608,0.7328433936604247,3700,0.313705035971223
0.7109634551495017,0.3577102803738318,0.2865625,0.5206495827847261,0.7323155346644978,3750,0.3413309352517986
0.7156862745098039,0.41401869158878507,0.3059375,0.5230326316628063,0.7308127182137842,3800,0.389136690647482
0.7193548387096774,0.43878504672897195,0.3228125,0.5259043183911641,0.7310777520235914,3850,0.4120863309352518
0.7188498402555911,0.44509345794392524,0.3346875,0.5260288600335477,0.7317645919577795,3900,0.41967625899280575
0.7183544303797469,0.4792056074766355,0.355625,0.5255718204349253,0.7316330187552263,3950,0.45075539568345324
0.7102803738317757,0.5021028037383177,0.3684375,0.5192306114297639,0.7310220450392729,4000,0.4713309352517986
0.7076923076923077,0.5058411214953271,0.3709375,0.5172064729741215,0.730835233550389,4050,0.4747841726618705
0.7082066869300911,0.49509345794392523,0.3709375,0.5177250475174444,0.73103665507828,4100,0.4665107913669065
0.7087087087087087,0.5070093457943925,0.398125,0.5185314525416048,0.7316566682048915,4150,0.48194244604316544
0.7100591715976331,0.5317757009345795,0.431875,0.5203332062266827,0.7328025987692448,4200,0.5087769784172662
